ID_VGame;VideoGame;Year;Genre;Copy.Publisher 2;Rating;Publisher;Developer;;;;;
55747;Fierce Tales: Feline Sight Collector's Edition;2018;indefined;;RP;Big Fish Games;Blam! Games;;;;;
88942;Love Story: The Beach Cottage;2018;indefined;;RP;Big Fish Games;Media Art;;;;;
55750;Reflections of Life: Tree of Dreams Collector's Edition;2018;indefined;;RP;Big Fish Games;Grandma Studios;;;;;
55753;Sea of Lies: Burning Coast Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
55756;Haunted Halls: Fears from Childhood Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55759;Off The Record: Liberty Stone Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
55762;Mystery Tales: Alaskan Wild Collector's Edition;2018;indefined;;RP;Big Fish Games;Domini Games;;;;;
77302;Haunted Manor: Painted Beauties Collector's Edition;2018;indefined;;RP;Big Fish Games;Top Evidence Studio;;;;;
55765;Hidden Object: Home Makeover;2018;indefined;;RP;Big Fish Games;Tamalaki;;;;;
55768;Echoes of the Past: Wolf Healer Collector's Edition;2018;indefined;;RP;Big Fish Games;Orneon Limited;;;;;
55771;Web of Deceit: Deadly Sands Collector's Edition;2018;indefined;;RP;Big Fish Games;Blam! Games;;;;;
77305;Redemption Cemetery: Clock of Fate Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55774;Grim Tales: The Stone Queen Collector's Edition;2018;indefined;;RP;Big Fish Games;Elephant Games;;;;;
55777;Haunted Halls: Revenge of Doctor Blackmore Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55780;Grim Facade: The Artist and The Pretender Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55783;Fear for Sale: City of the Past Collector's Edition;2018;indefined;;RP;Big Fish Games;EleFun Games;;;;;
77308;Dark Dimensions: Somber Song Collector's Edition;2018;indefined;;RP;Big Fish Games;Daily Magic Productions;;;;;
55786;Botanica: Earthbound Collector's Edition;2018;indefined;;RP;Big Fish Games;Boomzap Entertainment;;;;;
100918;Mystery Case Files: The Countess Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
55789;Maestro: Notes of Life Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
88945;Love Story: The Way Home;2018;indefined;;RP;Big Fish Games;Media Art;;;;;
77311;Sable Maze: Forbidden Garden Collector's Edition;2018;indefined;;RP;Big Fish Games;Daily Magic Productions;;;;;
55792;Mayan Prophecies: Blood Moon Collector's Edition;2018;indefined;;RP;Big Fish Games;EleFun Games;;;;;
55795;Mystery Trackers: Black Isle Collector's Edition;2018;indefined;;RP;Big Fish Games;Elephant Games;;;;;
55798;Queen's Tales: Sins of the Past Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
77314;Haunted Legends: The Stone Guest Collector's Edition;2018;indefined;;RP;Big Fish Games;ERS G Studios;;;;;
55801;Phantasmat: The Dread of Oakville Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
55804;Danse Macabre: Deadly Deception Collector's Edition;2018;indefined;;RP;Big Fish Games;Eipix Entertainment;;;;;
